order_id,product_id,warehouse_id,order_date,quantity,sales_channel
ORD0000001,PRD02333,WH015,2025-01-19,20,wholesale
ORD0000002,PRD09628,WH014,2025-08-16,23,online
ORD0000003,PRD07753,WH006,2025-09-16,38,online
ORD0000004,PRD00764,WH016,2024-10-28,4,retail
ORD0000005,PRD08152,WH014,2025-02-15,18,wholesale
ORD0000006,PRD08278,WH004,2025-03-20,43,retail
ORD0000007,PRD05247,WH005,2025-02-09,49,wholesale
ORD0000008,PRD00499,WH004,2024-12-12,8,online
ORD0000009,PRD09522,WH004,2025-06-08,39,online
ORD0000010,PRD09512,WH007,2025-09-18,25,retail
ORD0000011,PRD00414,WH017,2025-01-19,31,retail
ORD0000012,PRD02572,WH003,2024-11-07,6,wholesale
ORD0000013,PRD09066,WH012,2025-09-20,42,online
ORD0000014,PRD06395,WH006,2025-01-15,24,online
ORD0000015,PRD04243,WH003,2025-03-19,12,online
ORD0000016,PRD06572,WH005,2024-11-10,38,retail
ORD0000017,PRD08003,WH014,2025-08-01,37,online
ORD0000018,PRD00863,WH011,2025-07-03,42,retail
ORD0000019,PRD08018,WH006,2025-03-12,20,retail
ORD0000020,PRD03387,WH017,2025-04-24,7,online
ORD0000021,PRD08111,WH017,2024-10-26,34,retail
ORD0000022,PRD06615,WH012,2025-09-17,40,retail
ORD0000023,PRD01101,WH007,2024-12-30,48,online
ORD0000024,PRD05425,WH003,2025-02-25,18,online
ORD0000025,PRD03085,WH017,2025-05-20,36,wholesale
ORD0000026,PRD06546,WH019,2025-01-01,10,wholesale
ORD0000027,PRD05175,WH001,2025-06-24,7,wholesale
ORD0000028,PRD06455,WH003,2025-05-14,10,retail
ORD0000029,PRD04758,WH015,2025-09-16,19,retail
ORD0000030,PRD00662,WH003,2025-06-02,20,wholesale
ORD0000031,PRD00234,WH005,2025-05-20,3,wholesale
ORD0000032,PRD09615,WH015,2025-06-07,3,wholesale
ORD0000033,PRD07175,WH009,2024-10-16,18,wholesale
ORD0000034,PRD03671,WH015,2025-01-27,11,retail
ORD0000035,PRD08362,WH017,2025-03-15,28,wholesale
ORD0000036,PRD04836,WH003,2025-02-22,4,wholesale
ORD0000037,PRD08076,WH004,2024-12-03,27,online
ORD0000038,PRD08564,WH014,2025-06-20,4,online
ORD0000039,PRD01081,WH005,2025-04-17,14,online
ORD0000040,PRD02463,WH015,2024-10-31,40,online
ORD0000041,PRD05175,WH012,2025-06-14,18,retail
ORD0000042,PRD08108,WH012,2025-02-10,18,online
ORD0000043,PRD03394,WH018,2025-03-07,38,wholesale
ORD0000044,PRD02535,WH019,2025-04-09,44,wholesale
ORD0000045,PRD05795,WH016,2025-03-04,12,online
ORD0000046,PRD02886,WH018,2025-01-04,13,wholesale
ORD0000047,PRD04332,WH012,2025-02-16,31,wholesale
ORD0000048,PRD07704,WH001,2025-04-07,21,wholesale
ORD0000049,PRD06777,WH019,2025-03-05,15,wholesale
ORD0000050,PRD01278,WH012,2024-10-07,16,wholesale
ORD0000051,PRD00892,WH018,2025-04-03,48,wholesale
ORD0000052,PRD08339,WH002,2024-10-29,38,wholesale
ORD0000053,PRD04230,WH006,2024-12-15,14,wholesale
ORD0000054,PRD04713,WH018,2024-11-01,32,retail
ORD0000055,PRD05490,WH008,2025-01-05,31,online
ORD0000056,PRD00711,WH003,2025-04-01,32,wholesale
ORD0000057,PRD01544,WH015,2025-05-17,37,wholesale
ORD0000058,PRD08143,WH003,2025-06-12,24,wholesale
ORD0000059,PRD05754,WH003,2025-01-20,5,online
ORD0000060,PRD01266,WH009,2025-08-04,5,retail
ORD0000061,PRD01220,WH001,2025-07-27,20,wholesale
ORD0000062,PRD01836,WH007,2024-10-19,25,retail
