movement_id,product_id,warehouse_id,movement_date,quantity,movement_type
MV0000001,PRD07047,WH008,2024-12-19,-141,adjustment
MV0000002,PRD02266,WH006,2024-12-12,-231,outbound
MV0000003,PRD04171,WH016,2025-05-11,-160,adjustment
MV0000004,PRD00487,WH013,2025-03-05,243,adjustment
MV0000005,PRD03863,WH008,2025-07-17,-91,adjustment
MV0000006,PRD02574,WH003,2024-09-28,-118,replenishment
MV0000007,PRD08392,WH002,2025-04-10,-310,outbound
MV0000008,PRD09156,WH003,2025-01-12,797,outbound
MV0000009,PRD00522,WH016,2025-02-02,-398,adjustment
MV0000010,PRD00489,WH008,2025-03-10,340,adjustment
MV0000011,PRD05968,WH007,2025-09-07,583,outbound
MV0000012,PRD09840,WH020,2025-07-20,799,adjustment
MV0000013,PRD09271,WH013,2025-09-20,-376,outbound
MV0000014,PRD02719,WH009,2025-02-22,-430,outbound
MV0000015,PRD00340,WH010,2024-12-23,496,outbound
MV0000016,PRD00189,WH017,2024-12-27,157,replenishment
MV0000017,PRD05570,WH008,2025-04-29,619,adjustment
MV0000018,PRD02779,WH013,2025-05-11,315,outbound
MV0000019,PRD04406,WH003,2025-01-18,14,adjustment
MV0000020,PRD06447,WH006,2025-07-21,142,outbound
MV0000021,PRD08294,WH019,2025-07-13,889,adjustment
MV0000022,PRD03097,WH014,2024-10-24,-314,adjustment
MV0000023,PRD09704,WH013,2024-12-04,-350,outbound
MV0000024,PRD05899,WH003,2025-03-28,474,outbound
MV0000025,PRD07099,WH011,2025-06-05,-191,replenishment
MV0000026,PRD00886,WH002,2025-05-16,-46,adjustment
MV0000027,PRD01921,WH015,2025-05-18,328,adjustment
MV0000028,PRD04334,WH006,2025-07-18,273,outbound
MV0000029,PRD01902,WH015,2025-04-20,-251,replenishment
MV0000030,PRD01612,WH014,2025-02-26,-443,adjustment
MV0000031,PRD06907,WH019,2025-05-05,592,outbound
MV0000032,PRD01485,WH015,2025-09-14,918,replenishment
MV0000033,PRD09168,WH007,2025-02-08,199,replenishment
MV0000034,PRD04053,WH003,2025-02-11,-182,outbound
MV0000035,PRD02142,WH004,2025-04-19,-175,outbound
MV0000036,PRD05668,WH009,2025-07-28,230,replenishment
MV0000037,PRD00535,WH005,2025-04-10,-272,adjustment
MV0000038,PRD08337,WH017,2024-11-01,-226,outbound
MV0000039,PRD03570,WH019,2025-03-02,-307,outbound
MV0000040,PRD02183,WH017,2025-03-28,746,replenishment
MV0000041,PRD09245,WH006,2024-11-18,619,outbound
MV0000042,PRD05675,WH017,2024-10-16,143,outbound
MV0000043,PRD02040,WH017,2024-10-19,-121,adjustment
MV0000044,PRD03319,WH002,2025-05-31,481,outbound
MV0000045,PRD07409,WH014,2025-08-01,332,adjustment
MV0000046,PRD03145,WH016,2025-08-23,715,outbound
MV0000047,PRD00954,WH018,2025-04-19,467,adjustment
MV0000048,PRD02097,WH008,2025-06-12,158,adjustment
MV0000049,PRD09298,WH009,2025-09-27,-404,outbound
MV0000050,PRD08062,WH006,2024-12-08,667,replenishment
MV0000051,PRD09929,WH018,2024-12-14,172,outbound
MV0000052,PRD00918,WH016,2025-07-07,-447,replenishment
MV0000053,PRD05488,WH002,2025-04-11,415,adjustment
MV0000054,PRD02411,WH014,2025-02-10,342,adjustment
MV0000055,PRD01374,WH011,2025-09-16,-301,replenishment
MV0000056,PRD01332,WH009,2024-11-11,319,adjustment
MV0000057,PRD00156,WH012,2025-01-25,822,outbound
MV0000058,PRD03012,WH018,2025-07-06,292,outbound
