product_id,product_name,category,unit_cost,weight_kg,dimensions_cm
PRD00001,Since Max,Books,251.87,18.02,96x27x58
PRD00002,Player Standard,Toys,474.28,8.97,42x69x69
PRD00003,Produce Lite,Sports,406.38,10.11,5x74x12
PRD00004,Almost Max,Books,355.57,12.87,75x58x33
PRD00005,Process Standard,Sports,90.35,4.16,7x29x6
PRD00006,Including Lite,Home & Kitchen,213.28,3.7,60x85x95
PRD00007,Next Max,Toys,293.29,3.04,63x47x86
PRD00008,Must Standard,Books,340.61,18.96,88x35x37
PRD00009,Federal Pro,Books,21.28,6.06,72x19x29
PRD00010,Kitchen Max,Electronics,134.04,5.82,81x88x26
PRD00011,Production Lite,Toys,225.46,2.73,17x42x49
PRD00012,Floor Lite,Sports,366.43,0.24,66x10x46
PRD00013,Spend Standard,Electronics,359.59,0.61,45x86x95
PRD00014,Tend Standard,Home & Kitchen,445.85,10.2,8x10x54
PRD00015,Off Max,Books,221.4,10.96,41x58x49
PRD00016,Response Lite,Books,244.62,16.05,74x93x35
PRD00017,Camera Max,Electronics,349.36,14.84,49x44x16
PRD00018,Drive Pro,Toys,130.39,2.45,26x80x40
PRD00019,Anyone Max,Toys,355.06,12.94,74x15x70
PRD00020,Sea Max,Electronics,180.11,2.5,66x20x17
PRD00021,Around Max,Electronics,119.87,1.98,9x56x82
PRD00022,Home Standard,Sports,69.81,0.67,25x43x80
PRD00023,Television Standard,Sports,385.81,1.28,52x62x95
PRD00024,Employee Max,Sports,59.76,0.46,86x35x87
PRD00025,The Max,Electronics,194.34,14.68,76x38x92
PRD00026,Never Lite,Home & Kitchen,43.12,19.48,41x54x79
PRD00027,Yes Lite,Books,492.45,9.54,44x50x25
PRD00028,Forward Standard,Toys,240.55,18.52,30x35x85
PRD00029,Degree Lite,Sports,212.6,4.07,77x100x67
PRD00030,Whole Pro,Sports,87.54,15.8,79x21x10
PRD00031,Run Pro,Electronics,108.86,10.73,59x81x58
PRD00032,Value Lite,Home & Kitchen,14.25,19.35,24x23x13
PRD00033,Onto Standard,Electronics,393.98,18.85,10x77x86
PRD00034,Apply Max,Toys,364.07,4.11,46x28x77
PRD00035,Mission Lite,Books,269.03,12.51,31x82x48
PRD00036,Argue Lite,Sports,49.77,6.49,24x100x52
PRD00037,Him Max,Toys,349.17,13.89,20x23x91
PRD00038,Sound Standard,Electronics,351.97,14.57,16x50x86
PRD00039,Act Max,Home & Kitchen,92.89,9.38,85x44x26
PRD00040,Want Pro,Electronics,256.5,13.07,16x38x16
PRD00041,Their Pro,Sports,441.68,11.76,59x41x79
PRD00042,Because Standard,Books,57.44,6.37,86x61x51
PRD00043,Main Pro,Home & Kitchen,259.97,0.4,82x58x31
PRD00044,Behind Max,Sports,16.24,9.2,87x56x32
PRD00045,Fire Max,Sports,393.17,14.49,76x67x83
PRD00046,Democratic Lite,Home & Kitchen,406.22,17.65,64x6x93
PRD00047,Try Max,Toys,401.71,10.99,11x34x20
PRD00048,Firm Standard,Toys,55.7,6.08,25x22x57
PRD00049,Now Lite,Electronics,15.7,15.03,72x73x68
PRD00050,Small Standard,Toys,230.46,9.23,76x33x45
PRD00051,If Pro,Toys,82.49,18.22,58x60x13
PRD00052,Often Lite,Toys,190.09,9.35,82x29x61
PRD00053,Impact Lite,Electronics,320.15,12.33,22x34x38
PRD00054,Boy Lite,Electronics,485.61,11.79,47x28x87
PRD00055,Song Max,Home & Kitchen,45.17,10.87,94x97x92
PRD00056,Class Standard,Toys,335.38,12.58,41x98x51
PRD00057,Hand Lite,Electronics,250.63,0.73,43x27x69
PRD00058,Ball Lite,Toys,49.39,16.6,60x55x100
PRD00059,Response Lite,Toys,99.44,9.98,86x41x68
PRD00060,Director Pro,Books,203.53,0.33,41x64x93
PRD00061,Modern Standard,Books,163.95,8.37,51x10x70
PRD00062,Serve Pro,Electronics,41.61,19.77,28x93x52
PRD00063,Person Pro,Sports,422.46,6.51,68x48x34
PRD00064,Buy Max,Home & Kitchen,215.6,16.14,7x53x30
PRD00065,Image Pro,Toys,21.74,14.54,46x7x38
PRD00066,Century Standard,Electronics,55.57,10.79,14x49x89
PRD00067,Catch Standard,Electronics,259.01,8.88,13x30x100
PRD00068,Market Lite,Electronics,441.57,13.88,44x38x69
PRD00069,Else Pro,Home & Kitchen,70.3,5.2,81x77x87
PRD00070,Hold Max,Electronics,299.26,10.56,67x48x48
PRD00071,Similar Max,Books,201.71,11.62,71x33x52
PRD00072,Cut Pro,Books,286.65,16.14,5x85x8
PRD00073,Against Max,Home & Kitchen,53.68,7.77,33x79x47
PRD00074,Later Pro,Electronics,210.07,13.23,100x71x67
PRD00075,School Max,Home & Kitchen,398.0,15.18,82x90x13
PRD00076,According Pro,Sports,209.19,0.37,36x98x36
PRD00077,Office Max,Sports,145.75,6.94,16x39x18
PRD00078,New Standard,Home & Kitchen,427.25,5.31,11x80x52
PRD00079,Value Standard,Sports,303.75,12.27,57x30x83
PRD00080,Course Standard,Electronics,320.91,0.89,30x39x8
PRD00081,Final Standard,Toys,58.79,9.93,22x14x11
PRD00082,Attorney Pro,Electronics,274.78,13.06,7x45x17
PRD00083,Interview Lite,Electronics,90.27,10.34,6x62x28
PRD00084,Month Max,Electronics,380.28,18.61,87x19x61
PRD00085,Why Lite,Books,211.7,19.3,94x53x54
PRD00086,Budget Lite,Electronics,148.16,18.58,66x93x13
PRD00087,That Max,Home & Kitchen,311.56,8.25,52x99x64
PRD00088,Gas Lite,Home & Kitchen,259.78,12.09,69x15x94
PRD00089,Miss Pro,Electronics,257.73,4.84,95x26x41
PRD00090,Information Pro,Books,441.71,3.3,40x63x79
PRD00091,Admit Max,Books,264.98,7.98,73x61x93
PRD00092,Like Lite,Home & Kitchen,422.82,5.72,97x92x90
PRD00093,Something Pro,Sports,437.3,6.89,83x100x49
PRD00094,Different Max,Electronics,109.24,15.06,85x80x51
PRD00095,Air Pro,Books,360.4,7.87,24x97x90
PRD00096,Public Lite,Books,445.99,13.15,18x94x20
PRD00097,Big Pro,Electronics,358.22,6.56,64x33x6
PRD00098,Alone Lite,Books,298.52,12.57,59x60x34
PRD00099,Television Standard,Home & Kitchen,110.81,1.93,88x82x19
PRD00100,See Max,Home & Kitchen,215.8,8.32,96x100x72
PRD00101,Sound Standard,Toys,61.71,11.09,67x52x68
PRD00102,Pull Lite,Sports,366.85,17.4,96x68x74
PRD00103,Ball Pro,Books,22.13,11.87,44x5x77
PRD00104,Recognize Lite,Electronics,443.03,18.75,96x79x94
PRD00105,Teacher Lite,Home & Kitchen,211.61,17.59,6x60x24
PRD00106,Paper Pro,Books,307.44,15.7,63x12x37
PRD00107,Artist Standard,Electronics,368.34,11.25,52x56x98
PRD00108,Capital Lite,Sports,233.08,3.35,61x54x24
PRD00109,Protect Standard,Books,312.3,0.88,46x57x46
PRD00110,Hard Standard,Home & Kitchen,332.76,18.79,14x10x19
PRD00111,Know Lite,Electronics,447.57,18.94,71x41x38
PRD00112,Pick Pro,Home & Kitchen,267.07,11.89,67x56x86
PRD00113,Table Max,Home & Kitchen,233.81,19.64,78x12x25
PRD00114,Over Max,Sports,139.45,9.35,95x71x41
PRD00115,Project Pro,Sports,212.2,18.96,11x71x22
PRD00116,Save Max,Sports,366.94,6.72,27x24x98
PRD00117,Laugh Pro,Home & Kitchen,210.81,13.43,39x72x81
PRD00118,West Lite,Books,428.11,8.03,28x51x8
PRD00119,Film Lite,Toys,151.97,7.21,41x89x19
PRD00120,Sound Standard,Electronics,469.26,0.67,53x92x24
PRD00121,Picture Lite,Sports,138.08,9.59,61x63x97
PRD00122,Middle Max,Books,270.93,11.11,84x89x9
PRD00123,Hour Lite,Sports,206.77,9.32,28x62x13
PRD00124,American Standard,Toys,73.14,16.2,19x6x57
PRD00125,Black Pro,Toys,307.45,6.8,43x21x18
